가게명,카테고리,주소,리뷰
멘야하나비,일본식라면,서울특별시 송파구 백제고분로45길 38,"마제소바/소유라멘 먹었습니다 두번째방문인데 역시나 맛있습니다👏 타이밍이좋아서 웨이팅 없이 입장했습니다! 혼밥러들도 계시고 커플단위가 많으시네요 다음에도 또 방문예정입니다👍
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기"
창성옥,한식,서울 용산구 새창로 124-10,"수요일 아침이에요. 오늘도 묵은 포스팅으로 하루를 시작해봅니다. 어제 소개한 11월 수요족발회 2차 이야기. 압구정에서 딱히 2차를 갈만한 곳이 떠오르지 않았고, 우리 모두 강서쪽에 거주하니까 조금 이동해보기로 합니다. 택시를 타고 이동한 곳은 용문동 해장국 맛집 창성옥. 한잔 하러 가볼게요. 외관 용문동 해장국 맛집 : 창성옥 메뉴 용문동 해장국 맛집 창성옥 메뉴. 2차인데다 영업시간이 11시까지인데 9시 반쯤 입장해서 양해를 구하고 '뼈전골 (중 29,000원)'에 '후라이 (500원)'를 인당 하나씩 주문. 착석. 음식 해장국집이라 찬은 단촐합니다. 깍두기. 배추김치. 둘 다 괜찮았던 기억. 인당 하나씩 주문한 후라이가 나왔어요. 개당 500원이면 가격도 괜찮죠? 위장 한번 계란 노른자로 삭~ 코팅해주고 시작할게요. 뼈전골 중 사이즈. 2~3인용이라고 되어 있는데 제법 푸짐해요. 안에는 감자탕 같은 뼈가 들어 있고, 우거지가 듬뿍, 큼직한 선지도 넉넉히 들어가 있습니다. 국물을 맛보니 구수하면서도 감칠맛 있고 칼칼한게 술을 부르는 맛. 창성옥이 해장국으로 유명한 노포이지만 어릴 때 만취해서 와본 기억뿐이었는데 드디어 제대로 맛보는 기분. ""와, 국물 맛있네!!"" 이미 족발을 먹고 왔음에도 쭉쭉 들어갑니다. 가득 들어있는 우거지. 부들부들하고 국물을 잔뜩 머금고 있어 자꾸 손이 가더라고요. 소맥도 쭉- 그리고 무엇보다 이 선지가 정말 맛있었어요. 탱글탱글~ 메뉴판을 보니 뼈전골 중 사이즈가 매장에서는 2.9인데 포장은 1.4?? (매장보다는 적은 양인듯) 너무 맛있는데다 울프도 좋아할 것 같아 하나 포장했어요. 고기는 간혹 질긴 부위도 있었지만 전반적으로 대만족. 맛있게 먹고, 뼈전골 하나 포장해 2차 마무리합니다. 여기까지 용문동 해장국 맛집 창성옥에서 맛본 뼈전골을 소개했어요. 국물파라 워낙에 국물류를 좋아하기도 하지만 처음 제대로 맛본 창성옥의 뼈전골 너무 맛있게 먹었어요. 울프도 무조건 좋아할 맛이라 하나 포장해 가져갔는데, 집에서 데워 먹어도 맛있더라고요. 여긴 다시 방문해도 포장할 각.. 짧은 시간이지만 맛있게 먹고 마시고 흥이 올라 결국 3차로 뭅뭅.. 맛있게 잘 먹고 갑니다. 위치, 전화, 영업시간 주소 : 서울특별시 용산구 새창로 124-10 창성옥 전화 : 02-718-2878 / 영업 시간 : 06:00~23:00"
농민백암순대,"순대국, 국밥",서울특별시 강남구 선릉로86길 40-4,이미 너무 유명한 집. 웨이팅 필수. 회전율 빠름. 추천합니다
농민백암순대,"순대국, 국밥",서울특별시 중구 남대문로1길 33,"순대국중의 1등인것같아요. 일반 순대국과는 달라요
얼큰하고 고소한~ 여긴 평일에도 주말에도 항상 웨이팅이 필수이긴한데 회전율이 좋아서 금방 빠져요."
뱃고동,"오징어, 오징어튀김",서울특별시 강남구 언주로172길 54,"티비에 나온 곳이기도 하고 이쪽 근처에 자주 가서 한번 먹으러 가봤어요! 엄청 바빠서 친절한 느낌은 별로 못느꼈는데 이해할 수 있었구요, 맛있었어요~ 볶음밥이 킥!"
명동교자,"칼국수, 김치",서울특별시 중구 명동10길 10 명동교자,"줄이 길어도 빨리 빠지니까 너무 걱정하지 않으셔도 될거 같아요 1,2인이 가면 더 좋을거 같아요 밥이랑 사리 무료로 추가되니까 꼭 드시길"
깡통만두,"만두, 비빔국수",서울특별시 종로구 북촌로2길 5-6 1층,비빔국수가 생각보다 감칠나게 맛있었어요. 녹두전도 맛있음 !!!
서촌스코프,"카페,디저트",서울특별시 종로구 필운대로5가길 31 1층 SCOFF,"인왕산 등산 후 필수 코스 스코프. 맛있는 스콘도 많고 파운드 케이크도 맛있어요. 2층에 앉아서 먹을 수 있는 공간이 있어서 아이스아메리카노와 피칸파이 먹었는데 피칸파이 안에 피칸도 듬뿍 들었고 넘 맛있어요!!
커피가 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
16"
만포면옥 본점,냉면,서울 은평구 연서로 171,"찐맛집 인정 드립니다👍👍👍
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
3"
에빗,양식,서울특별시 강남구 도곡로23길 33,"평일 런치 + 와인페어링으로 다녀왔었어요 파인다이닝 여러군데 다녀봤지만 에빗이 제일 메뉴와 컨셉이 신선해서 좋았어요 맛도 물론 매우 만족 단 하나는 메뉴판에 상세 재료들이 안 써있어서 기억력 이슈로 재료들 설명 듣고도 생소한 재료 같은 경우는 조금 있으면 까먹어버린다는 점 😂😅 페어링된 와인들도 좋았고 설명해주시는 분이 친절하시고 유쾌하셔서 식사 내내 기분도 너무 좋았네요🥰 다음엔 디너 방문해보려고요!!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
파오파오,한식,서울 송파구 석촌호수로12길 22,배고파서 집 오다가 몇개 먹는바람엨ㅋㅋㅋ 실제로는 두개씩 더 있어요ㅎㅎ 새우만두 안좋아하는데 여기껀 진짜 맛있어서 찾게됩니다ㅜㅜ 잠실구장갈 때 필수코슨데 포장해서 집에서 먹어도 맛있네요ㅋㅋㅋ 여기 만두는 식으면 맛이 더 살아나는거같기도?ㅋㅋㅋㅋ
크리스피포크타운,"멕시코,남미음식",서울 용산구 녹사평대로40길 47,"타코가 너무 먹고 싶어서 찾아간 곳 직접 타코를 굽는다고 해서 그런지 더더 맛있었어요 또 가고픈곳. 1인 1음료 해야합니다
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기"
츄리츄리,이탈리아음식,서울 마포구 독막로15길 3-13,"때마침 와인 행사 중이어서 더 맛나게 먹고 왔어요!! 갈 때마다 입이 즐거운 츄리츄리 ◡̈
친절해요+3
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
3"
편의방,중식당,서울 서대문구 연희로 36,"연희동 만두맛집으로 유명한 편의방. 먹킷리스트에 넣어놨다 오늘에야 방문했습니다. 군만두는 문자그대로 겉바속촉인데 속촉이 특히 남달라서 놀랐어요. 찐만두는 찐만두대로 부드럽고 담백하니 부추맛이 살아있어 풍미가 좋았구요. 짬뽕도 불향이 적당히 입혀진 국물에 해물도 푸짐하게 들어가 있어 의외의 복병이었습니다. 만두맛은 기대이상이었는데 사장님이 조금만더 친절하셨으면…
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기"
자하손만두,만두,서울특별시 종로구 백석동길 12,"추운날 아주 오랫만에 들렸습니다! 2024 미쉐린 가이드에도 선정되어서 그런지 오랫만에 들려서 그런지 가격이 상당히 올랐네요! 그래도 정성 가득한 곳이라 새로 생긴 자하 상차림을 먹었습니다! 가격대가 높지만 여러가지 메뉴를 맛볼수 있어서 좋았습니다! 좋은 사람과 먹기에 양도 충분하네요! 주차는 발렛을 해야 하며, 3천원 별도 입니다! 현금이 아예 없으면 카운터에 부탁하면 같이 결제가 가능합니다! 추운날 맛있게 잘 먹고 왔습니다! ^^
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
오레노라멘,"라멘, 시오라멘",서울특별시 마포구 독막로6길 14,"개 씹 존 맛 탱

그냥 가야됨. 다 맛있는데 돈코츠보단 닭육수가 맛있고 개인적으로 매운 육수를 선호하긴 하지만 국물이 워낙 맛있어 본연의 맛을 느끼려면 토리빠이탄을 먹는게 최고의 판단"
로씨니,이탈리아음식,서울 종로구 북촌로 18,"일년만에 로씨니. 라자냐는 여전히 맛있고 안심스테이크도 부드럽고 맛있었어요:)
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
치즈플로,"우유,유제품",서울 용산구 이태원로49길 19,"인당 코스메뉴가 알찼던 치즈플로 치즈가 듬뿍든 메뉴를 선택하시는게 이득이고 치즈가 겹치지 않게 잘 선택해 먹으면 꿀조합:)
종류가 다양해요+1
개의 리뷰가 더 있습니다
펼쳐보기"
도마 유즈라멘,"일본라멘, 소고기",서울특별시 종로구 북촌로2길 14 유즈라멘,친구 생일겸 방문했는데 소고기랑 라멘 모두 맛있게 먹고 나옴
오레노라멘,"라멘, 시오라멘",서울특별시 마포구 독막로6길 14,"스프라고 불러도 될정도로 꾸덕하지만 잡내없고 뒷맛이 깔끔한 닭육수의 장점을 잘 살린 라멘 

* 면 추가 제한 없음, 콜라 주문시 얼음컵 나옴"
영일분식,"칼국수, 비빔국수",서울특별시 영등포구 도림로141가길 34-1,"칼비빔국수, 김치 맛있는데 조금더 매우면 좋겠어요 안매워서 아이들도 먹을수 있는 정도입니다
밖에 계신 분들은 매우매우 친절했는데 저녁에 방에서 주문 받으시는 여자분 불친절해요"
창성옥,한식,서울 용산구 새창로 124-10,"용문해장국, 한성옥과 함께 이 동네를 오래 지키고 있는 해장국집입니다. 이제 한성옥은 사라졌지만, 이 곳은 여전히 잘 있어줘서 고맙네요. 1948년도부터 하셨다니 이제 77년 되어가시는 듯 근처에서 식사를 하고 2차로 들렀습니다만, 여전히 식사하시는 손님, 술 마시는 손님도 많고 내부도 변한 것 없이 그대로네요. 여기는 왠지 아침보다 저녁에 들러서 항상 뼈전골을 먹게 되는데요, 배추에서 우러나는 단맛과 구수한 된장베이스의 육수도 좋고, 탱탱한 선지와 큼지막한 뼈토막은 아주 좋은 안주가 됩니다. 또 편의점보다 더 저렴한 500원짜리 계란후라이는 항상 2개씩 시키게 되는데 마음이 아주 넉넉해지는 기분이에요. 앞으로도 오래도록 변하지 않고 운영해주시면 감사할 것 같은 푸근한 식당입니다.
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
10"
아현동간장게장,게요리,서울 마포구 굴레방로 13,"간장게장 맛있어요 넘 맘에 듭니다.
음식이 맛있어요
이미지 수
1"
옥동식,국밥,서울특별시 마포구 양화로7길 44-10,"마포 합정역에 위치한 빕그루망 옥동식 다녀왔어요 원격 테이블링을 안 하고 방문했더니 웨이팅이 있어 30분 정도 기다렸습니다 특히 일요일은 주변 맛집들이 휴무가 많아 대기가 더 길어졌어요 옥동식의 대표 메뉴인 돼지곰탕(특)과 김치만두를 주문했습니다 은은하고 따듯한 분위기와 좌석은 카운터석으로 되어 있어 혼밥 하기 좋은 분위기였어요 국물은 슴슴하면서 돼지국밥과는 다른 깔끔 담백한 맛입니다 고추지는 국물에 넣어 먹지 않고 고기를 수육처럼 따로 먹는 걸 추천드려요 계속 먹다 보면 감칠맛이 계속 올라오고 같이 나온 김치가 좋았습니다 특으로 주문해서 고기의 양이 많은 편이었고 김치만두는 다소 평범한 듯했으나 슴슴한 곰탕 국물과 잘 어울렸어요 혼밥 하기 눈치도 안보였고 직원분들도 굉장히 친절하셨습니다
혼밥하기 좋아요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
20"
농민백암순대,"순대국, 국밥",서울특별시 중구 남대문로1길 33,시청 쪽에 위치해있어서 시간대 상관없이 항상 만석이고 웨이팅 있습니다! 직원분들이 너무 친절하고 음식까지 맛있어서 시청 부근 음식점 생각하면 가성비와 친절 모두 잡은 곳이에요
진중 우육면관,"우육면, 업진살",서울특별시 종로구 청계천로 75-2,대만에서 먹었던 우육면처럼 맛있었습니다 국물이 진하고 간이 쎈 편이라 반찬(오이) 주문 추천해요
마리또에몰리에,이탈리아음식,서울 용산구 한남대로18길 27,"비추후기 결혼하고 첫 기념일에 방문했습니다. 예약시간에 맞춰 7시에 방문하여 착석 후 바로 식사 주문을 했습니다. 저희 주문 후 늦게 추가 주문한 옆 테이블 메뉴들이 먼저 나오는것도 황당했지만 그 후로 새로 들어온 테이블에도 먼저 메뉴가 준비된거 보고 주문이 혹시 안들어 갔을까 싶어 여쭤봤더니 5분 후에 나온다더니 50분 기다린 메뉴가 옆 테이블로 잘못갔네요^^ 옆 테이블에서 이미 손대서 어쩔 줄 몰라하시는데 사과 한마디 없는 곳 처음이네요 너무 배고파서 식사 못하고 음료 스프 결제 후 나왓어요 직원분 에티튜드도 별로고 협소해서 옆 테이블 대화소리 다 들려 대화 하기도 불편하고 주변 다이닝에 비해 인테리어도 올드해서 굳이 방문 할 이유가 없을 것 같습니다.
음악이 좋아요
이미지 수
1"
목멱산방,한식,서울 중구 퇴계로20길 71,"입덧 심한 임산부라 매운게 땡겨서 비빔밥 먹으러 명동까지 왔습니다. 다양한 야채와 시원한 콩나물국까지 너무 맛있게 잘 먹고갑니다. 음식도 자극적이지 않고 입맛에 정말 잘 맞았어요 ^^
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
2"
레스토랑오와이,프랑스음식,서울특별시 강남구 선릉로148길 48-12 지하 1층,"24년 연말을 보내기 위해 들렀습니다. 응대도 정말 만족스럽고 디너코스를 먹었는데 모든메뉴가 정말 맛있었습니다. 좋은시간을 보낼 수 있게 해주셔서 감사했습니다.😊
차분한 분위기에요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
8"
풍년닭도리탕,"닭볶음탕, 쫄면",서울특별시 중구 세종대로14길 17-5,"닭고기가 매우 연하고, 매우 맛있습니다. 마지막에 밥 꼭 볶아드세요~"
백년옥,"순두부, 두부",서울특별시 서초구 남부순환로 2407,"두부전골 육수 깔끔하고 두부가 부드러워 진짜 맛있게 먹었습니다,"
일품당 광화문점,샤브샤브,서울 종로구 세종대로23길 25,"1인당 먹기 좋게 나와서 편합니다. 가격이 좀 있지만 샤브샤브라 야채를 많이 먹을 수 있고 반찬들고 깔끔하게 나와서 건강한 맛이 느껴집니다. 일하시는 분들 친절하셔서 기분좋게 먹을 수 있었습니다.
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
1"
뱅뱅 막국수,"막국수, 들기름막국수","서울특별시 강남구 도곡로 112 서한빌딩, 1층",뱅뱅사거리 막국수 맛집. 막국수를 요리처럼 예쁘게 맛있게 즐길 수 있어요
송화산시도삭면,"도삭면, 딤섬",서울특별시 광진구 아차산로30길 33,평일이지만 50분정도 기다려서 들어갓습니다ㅠㅠㅠ 그래도 맛잇어서 너무 좋앗습니당
삼청동수제비,한식,서울특별시 종로구 삼청로 101-1,"백지영 유튜브 보고 와밨는데 와 정말 맛있어요! 3명이서 수제비3개 쭈꾸미 하나 감자전 하나 먹구 혼자서 동동주 마셨는데 많을 줄 알았지만 정말 맛있어서 다 먹고 왔어요! 웨이팅이 앞에 2팀 있었는데 10분 이내로 들어갔어요! 여긴 또 올 거 같아용!
음식이 빨리 나와요+2
개의 리뷰가 더 있습니다
펼쳐보기"
연교,"딤섬, 만두",서울특별시 마포구 연희로1길 65 1층,"음식이 주문하면 바로바로 나와요
날씨가 추웠어서그런지 우육면이 국물이 깊고 딤섬이랑 잘어울려서 정말 맛있었어요!
어향가지덮밥은 살짝 아쉬워요 달짝한맛이라 밥보다는 단독으로 술안주랑 어울릴 것 같아요
가격이 저렴해서 이것저것 시켜먹기좋고 가성비좋아요"
삼원가든,한식,서울특별시 강남구 언주로 835,"좋은 사람들과 좋은 장소에서 맛있는 음식과 담소를 나눌수 있음에 참,,,행복했던 순간이었다. 서로에게 귀인이 되어주자🙏 생각해보면 지금 내 곁에 있는 사람들은.... 그간 만난 사람들 중에 떠나지 않고 결국 내 옆에 남아준 귀한 사람들이니까.. 삶을 빛의 방향으로 이끄는 방법 중 하나는 내가 귀하게 여기는 사람들을 만들어 그들과 함께 살아가는 것이 아닐까? 살면서 누구와 관계를 맺고 누가 내 주변에 있는가에 따라 내 삶이 달려 있으므로.. 그렇기에 지금 내 옆에 남은 사람들이 내 인생을 만들었고 앞으로도 그들에 의해 나는 빛의 방향으로 나아갈 것이다. 서로가 서로에게 동쪽에서 오는 귀인이 될 수 있기를 소망하면서.... <이 미로의 끝은 행복일꺼야 중에서>
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
소문난 성수 감자탕,"감자탕, 볶음밥",서울특별시 성동구 연무장길 45,토요일에 방문해서 웨이팅을 오래할까 걱정했는데 회전율이 좋은지 약 25분정도밖에 안기다렸어요! 음식도 빨리나오고 맛있어서 만족해요!
애성회관한우곰탕,"곰탕,설렁탕",서울 중구 남대문로5길 23,"유재석님이 맛있게 드시는 거 보고 궁금한 맘에 방문했어요 일반은 양이 많진 않은 것 같고 남자분들은 특으로 해야될 것 같아요 면이 두꺼운면인데 개인적으론 소면이 더 좋은 것 같아요 고기가 퍽퍽하지 않고 부드럽고 졸깃한 맛이 인상깊었고 김치가 맛있어서 국물과 조화가 좋았어요
음식이 맛있어요"
사랑방칼국수,"백숙, 칼국수",서울특별시 중구 퇴계로27길 46,"서울 중구에 위치한 사랑방칼국수는 칼국수와 백숙으로 유명한 맛집입니다.
이곳은 무려 개업 56년의 역사를 자랑하며, 노포 감성을 느낄 수 있는 곳이죠!
을지로3가역 9번 출구에서 가장 가까운 곳에 위치해 있습니다.
메뉴는 다양하게 제공되며, 특히 멸치 육수에 말아내는 칼국수와 통닭 백숙이 유명합니다.
사랑방칼국수 영업시간은 월 - 금 오전 10시 30분부터 오후 9시 40분까지
토요일은 오전 10시 30분부터 오후 9시까지, 일요일은 오전 10시 30분부터 오후 4시까지이며.
재료가 소진될 경우 조기 마감될 수 있다고 합니다.
정기휴무는 매달 1번째 일요일입니다.
칼국수의 종류로는 기본 칼국수, 곱빼기 칼국수, 날계란 추가 칼국수, 곱빼기에 날계란 추가 칼국수 등이 있습니다.
백숙 백반을 주문하면 저렴한 가격에 백숙, 국물, 밥까지 먹을 수 있습니다.
내부는 오래된 만큼 어수선하지만 깔끔하고 담백한 분위기가 있습니다.
테이블 간격은 좁은 편이지만 분위기는 좋아요.
인테리어에는 피규어 진열장이 있으며, 앤틱한 디자인이 아쉽게도 없어요.
1층은 분주한 주방이 위치하고 있고, 2층은 아이언맨 피규어들이 많이 있어서 특이합니다.
겉절이는 매일 담그는 것 같으며, 신선하고 아삭아삭한 맛이 매력적이네요.
양념이 자극적이지 않아서 좋고, 맵기와 염도가 잘 조절되어 있어 칼국수와 잘 어울림!
칼국수의 국물은 비교적 맑은 국물과 파가 많이 들어가 있어 먹음직스럽네 느껴지네요.
칼국수의 국물이 생각했던 것보다 진하지 않네요.
칼국수 면은 직접 뽑아낸 것이 아니라 시판 건면을 그대로 사용하는 듯한 느낌이 드네요.
특별함이 있다기보단 무난하게 맛있는 느낌!?
배추의 단맛도 살짝 느껴져서 칼국수와 잘 어울리는 맛!
겉절이 맛이 얼마나 좋은지 3번이나 리필을 받아서 칼국수와 맛있게 먹었네요.
칼국수가 유명하지만 닭백숙 요리도 매우 맛있는 집이라고 하네요."
영수네감자국 본점,감자탕,서울 도봉구 도봉로181길 86,"굴김치 시그니처 항상맛나요
음식이 맛있어요"
광화문뚝감,감자탕,서울 종로구 새문안로3길 21,"광화문에서 이미 유명한 맛집! 뚝감에 다녀왔어요. 일요일 점심으로 갔는데 살짝 웨이팅이 있었네요. 감자가 들어간 뼈해장국이 메인이었고, 주문하자마자 3분? 안에 나왔어요 ㅎ 회전율이 매우 빠르네요. 뼈가 3덩이 나왔는데 최근에 먹은 뼈해장국 중에 살코기가 제일 많았어요. 거기에다가 감자가 캬, 보드러운게 맛도 좋았네요. 점심에는 밥도 무제한이라 이점도 굳굳. 국물은 약간 심심한 느낌도 있었지만 먹다보니 진해지는ㅎ 밥까지 말아서 한그릇 맛있게 잘 먹었습니다.
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기"
임병주 산동칼국수,"칼국수, 만두",서울특별시 서초구 강남대로37길 65,"보쌈이랑 족발이랑 술 한잔하고,
식사하기 괜찮은 식당입니다."
또순이네집,소고기구이,서울특별시 영등포구 선유로47길 16 오오1004빌딩,"소고기보다 된장찌개가 유명하다고 해서 다녀왔어요. 된장찌개로 빌딩 세웠다는데, 안가볼 수 없잖아요? 후기에 토시살이 맛있다고 해 주문했고 고기와 동시에 된장찌개를 주문했는데, 고기를 거의 다 먹을때 까지도 된장찌개는 나오지 않아 결국 빨리 달라 재촉했어요. 여기만의 서빙 룰인가봐요. 고기는 토시살로 먹었는데 한우가 아니지만 나쁘지 않게 잘 먹었어요. 된장찌개는 냉이가 많이 들어갔는데, 고기가 넘치도록 들어있어 소고기 후에 또 소고기가 들어간 된찌는 제 기준 조금 느끼했던 것 같아요. 더 칼칼했으면 좋지 않았을까 싶은데, 그래도 맛있긴 합니다. 고기를 기름에 살짝 볶은뒤 된장찌개 국물을 넣어서 팔팔 끓이는 식인것 같아요. 양이 굉장히 많아서 혼자 밥 두그릇 먹었습니다. 남기면 후회 할것 같아서요.
매장이 넓어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
11"
남포면옥,냉면,서울특별시 중구 을지로3길 24,"마침 회의가 일찍 끝나서 오픈시간 맞춰서 팀원과 방문할 수 있었습니다. 근래들어 가장 추운 날이라 그런지 냉면보다는 갈비탕 주문이 많았습니다. 🥲 따뜻한 육수가 일품이었어요. 냉면 양이 많은 편은 아니지만 냉면에 절인 오이와 조합이 좋았습니다. 👍 동치미 국물에서 식당의 내공이 느껴졌어요. 👏 11:50 경에 나오는데 만석이었어요. 다음에는 빈대떡도 시키려고요. 🙌
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기"
원조호수삼계탕,"삼계탕, 들깨삼계탕",서울특별시 영등포구 도림로 276 원조호수삼계탕,워낙 유명한 곳 여름에는 줄이 너무 길어서 못가는데 선선할 때 먹는 삼계탕도 좋네요
라플랑끄,프랑스음식,서울 용산구 이태원로26길 26,"모든 메뉴 다 맛있었고 파리 여행하면서 먹었던 추억의 맛이라 반가웠습니다😌 에스까르고, 어니언수프, 아귀스튜, 돼지고기스튜, 감자그라탕 전부 맛있었고 다만 양은 적은 편이라 1인당 2메뉴 이상은 해야 배부르게 드실 수 있을 것 같아요! 특별한 날 가길 추천드려요💕
아늑해요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
6"
진진,중식당,서울특별시 마포구 잔다리로 123 1층,"주문한 음식 모두 정성스럽고 맛이 일품이었습니다. 항상 진진 앞에 사람들이 북적북적 하길래 궁금해서 가족모임때 예약해서 가보았습니다. 그럴만한 가치가 있는 한끼였어요. 가족 구성원 모두가 만족한 자리였습니다. 추천드려요!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
보니스피자펍,"피자, 페퍼로니",서울특별시 용산구 신흥로3길 2,"시끄럽고 외국피자맛입니다. 
할라피뇨 피클과 물은 직접 떠다먹어야하고. 
서빙해주시는직원분들이 다외국분들이신것같아요. 
사람이 너무많아서 짜증이 많이나신듯한 상태였습니다. 
지하에서 먹었는데 키오스크로 주문결제해야해요~"
평양면옥,냉면,서울특별시 중구 장충단로 207,"생각보다 간이 꽤 있는 편이고 면의 향이 잘 나는 것이 좋았습니다 따로 가미를 하지 않아도 정말 맛있었습니다 국물까지 깔끔하게 잘 먹었습니다
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
2"
히포 브런치하우스,브런치카페,서울 마포구 성미산로17길 85,"음식이 중요하죠~~~ 제픽은 아보카드토스트였어요~ 부드러운 치즈크림..느끼함 일도없는..버터를 주었지만 필요가없었네요 ^ ^빵도 베이컨도 너무 잘어울리는 조합 파스타도 괘안고 마늘바게트도 은은한 마늘향이 좋았습니다 ...비엔나커피두 인정 ^ ^
커피가 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
4"
뱃고동,"오징어, 오징어튀김",서울특별시 강남구 언주로172길 54,압구정에서 회사 다닐때 자주 왔었는데 여전히 맛있네요. 오징어튀김에 소스 찍어서 드세요.
무겐스위치,일본식라면,서울 마포구 동교로 242-13,⭐️ 홍대 이에케라멘 맛집 무겐스위치 ⭐️  홍대에 위치한 무겐스위치~ 이에케라멘에 푹 빠진 나에게 추천해준 사람이 많아서 방문했습니다. 이에케라멘 입문자들이 좋아할만한 농도와 맛이었으며 왜 웨이팅하는지 이해되는 맛집👍
진미평양냉면,평양냉면,서울특별시 강남구 학동로 305-3,"평양냉면 매니아라면 강남에선 자주가는 집입니다
피양옥에 비해선 평냉 처음 접하는 분들에게 좀 더 좋은선택이 될수 있지만 갈때 마다 맛의 편차가 있는점이 조금  아쉽습니다.
어복쟁반 소주 후식 평냉추천!"
필동면옥,냉면,서울특별시 중구 서애로 26,"지난 여름에 갔을때 진짜 무지막지하게 더운데 밖에서 기다린 기억이 있는데 이번에 가니까 늦은시간에, 추운 날씨라 대기없이 바로 입장했어요 평냉은 역시나 진짜 최고의 육수와 면빨로 감동ㅠㅠ 만두는 남친이 맛있다며 후루루룩 다 먹었어요ㅋㅋㅋㅋㅋㅋㅋㅋ
친절해요+4
개의 리뷰가 더 있습니다
펼쳐보기"
게방식당,한식,서울특별시 강남구 선릉로131길 17 1층,"정확한 시간에 맞춰 포장을 해주셔서 픽업이 용이했습니다. 주차는 약 3대 정도 가능합니다.
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
2"
